,Source,Compound,Negative,Neutral,Positive,Time,Tweet Text
85,@BBC,0.4019,0.0,0.863,0.137,Mon Apr 02 12:50:59 +0000 2018,@KatieKhaleesi Time for @BBC producers to appear before cross party committees in @ScotParl and @UKParliament to an… https://t.co/FBU1kd5WBG
86,@BBC,-0.2144,0.106,0.828,0.067,Mon Apr 02 12:50:52 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…"
87,@BBC,0.0772,0.073,0.838,0.089,Mon Apr 02 12:50:51 +0000 2018,@JuliaHB1 @talkRADIO @BBC on the slope to oblivion. A non meritocracy only produces mediocrity. Socialism is a good… https://t.co/44RCrG7t01
88,@BBC,-0.5106,0.148,0.852,0.0,Mon Apr 02 12:50:46 +0000 2018,"RT @BBC: A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T…"
89,@BBC,-0.2144,0.106,0.828,0.067,Mon Apr 02 12:50:23 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…"
90,@BBC,-0.2144,0.106,0.828,0.067,Mon Apr 02 12:50:22 +0000 2018,"RT @Animal_Watch: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheH…"
91,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:50:17 +0000 2018,@sinandolayman @ktheffect_ @Huseyin_Uckun @Yusuf__Tekin @bangtantr @BTSTurkey @LGBTTAileGrubu @BTSfanpage_x_tr… https://t.co/cn9ZCMVc7O
92,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:49:51 +0000 2018,"RT @RCorbettMEP: Is the @BBC abdicating its responsibilities over #Brexit, 
asks Henry Porter:  
https://t.co/2mx73co2Fx"
93,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:49:46 +0000 2018,@BBC https://t.co/jYgXY2bnQE
94,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:49:42 +0000 2018,"RT @Martadpp: 👀👀📽📽 Esto es lo que realmente sucede. 

▶️Los que se saltaron las leyes fueron los políticos independentistas

▶️Desde el Gob…"
95,@BBC,-0.5267,0.167,0.833,0.0,Mon Apr 02 12:49:35 +0000 2018,"Just tried to watch The new generation game on the @bbc, you know, because I'm forced to pay for it or face prison.… https://t.co/DdwDSfxAch"
96,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:49:28 +0000 2018,"RT @Martadpp: 👀👀📽📽 Esto es lo que realmente sucede. 

▶️Los que se saltaron las leyes fueron los políticos independentistas

▶️Desde el Gob…"
97,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:49:14 +0000 2018,@Huseyin_Uckun @sinandolayman @Yusuf__Tekin @bangtantr @BTSTurkey @LGBTTAileGrubu @BTSfanpage_x_tr @istanbulLGBT… https://t.co/Hq1X5zM1uw
98,@BBC,-0.5994,0.206,0.794,0.0,Mon Apr 02 12:49:13 +0000 2018,"""War on #Yemen leaves children on the brink of famine"" Documentary by @BBC #Yemen
#3YearsOfSuffering… https://t.co/ONEIBbD4DC"
99,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:48:48 +0000 2018,"RT @FreeS_Cameroons: @G_Thibault_Fr @francediplo #paulbiya: #Cameroon's ""#AbsenteePresident""
@PresidentialFoo L
@FouPresidentiel
@PR_Paul_B…"
100,@CBSNews,0.1154,0.0,0.943,0.057,Mon Apr 02 13:10:42 +0000 2018,"RT @CBSNews: A firefighter surprised two young girls at their home in Ohio, but when he took off his mask and helmet, they realized he wasn…"
101,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:32 +0000 2018,@CNN @ABC @NBCPolitics @CBSNews @cnnbrk @SenateDems @SenateGOP @HouseGOP @HouseDemocrats @realDonaldTrump Who the H… https://t.co/S33zBDgV0M
102,@CBSNews,-0.5994,0.145,0.855,0.0,Mon Apr 02 13:10:30 +0000 2018,"RT @CBSNews: This week marks the 50th anniversary of the assassination of Dr. Martin Luther King Jr. Only on CBS News, @CBSMMiller spoke wi…"
103,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:30 +0000 2018,"RT @gray34758: @FoxNews , @cnnbrk , @MSNBC, @CBSNews , @NBCNews , @ABC why isn't anyone following this? These guys had control of everythin…"
104,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:10:14 +0000 2018,@drkerem @Noor_and_Alaa @RedCrescentTR @UNReliefChief @POTUS @Pontifex_it @jeremycorbyn @WhiteHouse… https://t.co/JUaUXpaPg1
105,@CBSNews,0.1531,0.0,0.929,0.071,Mon Apr 02 13:10:02 +0000 2018,RT @CBSNews: Biologists are challenging the idea of naturalist Charles Darwin that evolution can not be observed in real time. Urban ecolog…
106,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:48 +0000 2018,@CBSNews **soldier
107,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:44 +0000 2018,RT @CBSNews: AHEAD on @CBSThisMorning: @CecileRichards is entering her final weeks at the helm of Planned Parenthood. She will step down as…
108,@CBSNews,-0.2244,0.136,0.763,0.1,Mon Apr 02 13:09:36 +0000 2018,trump is taking away healthcare for women. This sounds like something from The Handmaids Tale!  This is wrong and w… https://t.co/yKrwMS6w3E
109,@CBSNews,0.0516,0.137,0.714,0.148,Mon Apr 02 13:09:30 +0000 2018,"@Flores460 @CBSNews Oh, Honey. I appreciate your ignorance. I implore you to #feedyourself rather than regurgitate… https://t.co/t9ww9XKNzW"
110,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:09:09 +0000 2018,@MRSTXFabFace @CBSNews That maybe you. But the base doesn't feel the way you do. And rather then you call me a Liar… https://t.co/tGO4uPFXSI
111,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:55 +0000 2018,"RT @ProgressCareUS: @ProgressCareUS (OTCQB: $RXMD) Releases #Investor Presentation Featuring S. Mars, CEO. The #presentation contains a bri…"
112,@CBSNews,0.7845,0.139,0.292,0.569,Mon Apr 02 13:08:53 +0000 2018,@CBSNews I love this. I have Tears of happiness.
113,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:32 +0000 2018,RT @CBSNews: Missouri GOP Senate candidate Josh Hawley sidesteps question on Trump's behavior https://t.co/HKByFWYNOI https://t.co/jVcsEzb9…
114,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:28 +0000 2018,@MSNBC @FoxNews @realDonaldTrump @ABC @NBCNews @CBSNews @IngrahamAngle @DonaldJTrumpJr @JesseBWatters… https://t.co/mmejHmS0ZW
115,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:27 +0000 2018,RT @CBSNews: Hundreds of schools in Oklahoma and Kentucky are closed today as thousands of teachers prepare to rally at their State Capitol…
116,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:24 +0000 2018,"RT @ProfElvanAktas: “Kanlı Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…"
117,@CBSNews,0.128,0.056,0.866,0.078,Mon Apr 02 13:08:24 +0000 2018,RT @CBSNews: China imposed significant tariffs overnight on more than 100 imported American goods. The move is in retaliation for the Trump…
118,@CBSNews,0.0,0.0,1.0,0.0,Mon Apr 02 13:08:23 +0000 2018,RT @CBSNews: Missouri GOP Senate candidate Josh Hawley sidesteps question on Trump's behavior https://t.co/HKByFWYNOI https://t.co/jVcsEzb9…
